"","AREA","PERIMETER","GAGE_ID","no_snow","snow","percentageFire","fire_year","Incid_Name","burn_type","EPA_L1","data"
"405",374618000,145440,"14096850",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"406",1080380000,241920,"14101500",0.77,0.23,0.01,2006,"MT. HOOD COMPLEX","unburned","6",FALSE
"407",393754000,134100,"14107000",0.03,0.97,3.66,2009,"DISCOVERY","unburned","6",TRUE
"411",21539700,36960,"14134000",0.06,0.94,0,NA,NA,"unburned","6",FALSE
"412",625657000,146640,"14136500",0.69,0.31,0,NA,NA,"unburned","6",FALSE
"413",674239000,163920,"14137000",0.71,0.29,0,NA,NA,"unburned","6",TRUE
"414",21287700,29280,"14138800",0.8,0.2,0,NA,NA,"unburned","6",TRUE
"415",21682800,31920,"14138900",0.75,0.25,0,NA,NA,"unburned","6",TRUE
"416",669340000,149830,"14144800",0.55,0.45,8.83,2009,"TUMBLEBUG COMPLEX","burned","6",FALSE
"418",302650000,111480,"14146500",0.61,0.39,0,NA,NA,"unburned","6",FALSE
"419",640621000,240120,"14147500",0.66,0.34,0,NA,NA,"unburned","6",FALSE
"420",40571100,38340,"14158790",0.28,0.72,0,NA,NA,"unburned","6",TRUE
"421",414300000,145080,"14159200",0.64,0.36,8.84,2017,"REBEL","burned","6",TRUE
"422",118364000,67380,"14161100",0.84,0.16,0,NA,NA,"unburned","6",FALSE
"423",62424100,38740.5,"14161500",0.89,0.11,0,NA,NA,"unburned","6",TRUE
"424",272542000,126180,"14179000",0.54,0.46,3.32,2017,"SRZ LITTLE DEVIL","unburned","6",TRUE
"425",66646800,49440,"14180300",0.7,0.3,0,NA,NA,"unburned","6",TRUE
"426",35223300,36900,"14181750",0.85,0.15,0,NA,NA,"unburned","6",FALSE
"428",286848000,128520,"14182500",0.85,0.15,0.01,2011,"MOTHER LODE","unburned","6",TRUE
"429",458176000,139740,"14185000",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"430",258196000,111840,"14185900",0.83,0.17,0,NA,NA,"unburned","6",TRUE
"431",252167000,105000,"14198500",0.88,0.12,0,NA,NA,"unburned","6",FALSE
"433",594622000,179520,"14216000",0.44,0.56,0.74,2012,"CASCADE CREEK","unburned","6",FALSE
"434",349524000,122640,"14216500",0.44,0.56,0,NA,NA,"unburned","6",TRUE
"435",167425000,96840,"14219000",0.88,0.12,0,NA,NA,"unburned","6",FALSE
"436",32778900,33420,"14219800",0.86,0.14,0,NA,NA,"unburned","6",TRUE
"437",1377960000,266520,"14231000",0.49,0.51,0,NA,NA,"unburned","6",TRUE
"438",825271000,214560,"14232500",0.4,0.6,0,NA,NA,"unburned","6",FALSE
"440",360993000,142260,"14236200",0.89,0.11,0,NA,NA,"unburned","6",TRUE
"441",78991200,49560,"14316495",0.73,0.27,80.8,2008,"RATTLE","burned","6",TRUE
"442",811444000,212160,"14328000",0.33,0.67,8.02,2015,"NATIONAL CREEK COMPLEX","burned","6",FALSE
"444",25462800,29160,"14353000",0.79,0.21,0,NA,NA,"unburned","6",FALSE
"445",20872800,30900,"14353500",0.85,0.15,0,NA,NA,"unburned","6",FALSE
"446",140061000,74280,"14372500",0.77,0.23,13.09,2018,"NATCHEZ","burned","6",FALSE
"447",104769000,73140,"402114105350101",0.07,0.93,9.84,2012,"FERN LAKE","burned","6",TRUE
"448",378453000,120900,"10245800",0.78,0.22,0,NA,NA,"unburned","10",FALSE
"449",596874000,168060,"06218500",0,1,8.21,2016,"LAVA MOUNTAIN","burned","6",TRUE
"450",793952000,218220,"06280300",0.03,0.97,13.21,2013,"HARDLUCK","burned","6",TRUE
"451",162986000,92400,"06632400",0,1,0,NA,NA,"unburned","6",TRUE
"452",398309000,166380,"09210500",0,1,14.02,2000,"FONTENELLE","burned","6",TRUE
"453",716423000,156740,"10308200",0.11,0.89,10.32,2015,"WASHINGTON","burned","6",TRUE
"454",237077000,114060,"14158500",0.13,0.87,8.52,2003,"BB COMPLEX (BOOTH)","burned","6",TRUE
